Date,High,Low,Open,Close,Volume,Adj Close
1999-12-31,2.089843988418579,2.056641101837158,2.074218988418579,2.080077886581421,1046400.0,1.8841063976287842
2000-01-03,2.117187976837158,2.082031011581421,2.107422113418579,2.101562976837158,4201600.0,1.9035675525665283
2000-01-04,2.091797113418579,2.023437976837158,2.089843988418579,2.029297113418579,3363200.0,1.8381109237670898
2000-01-05,2.021483898162842,1.9394530057907104,2.021483898162842,1.984375,3644800.0,1.7974209785461426
2000-01-06,1.9765629768371582,1.9238280057907104,1.9765629768371582,1.9296879768371582,1561600.0,1.7478859424591064
2000-01-07,1.949218988418579,1.894531011581421,1.9375,1.949218988418579,3622400.0,1.7655766010284424
2000-01-10,2.046875,1.953125,1.953125,2.041016101837158,1526400.0,1.848725438117981
2000-01-11,2.097656011581421,2.041016101837158,2.046875,2.089843988418579,2483200.0,1.8929531574249268
2000-01-12,2.4375,2.117187976837158,2.117187976837158,2.378906011581421,26086400.0,2.1547811031341553
2000-01-13,2.431641101837158,2.3125,2.386718988418579,2.347656011581421,5529600.0,2.1264750957489014
2000-01-14,2.4375,2.34375,2.34375,2.396483898162842,2304000.0,2.170703411102295
2000-01-18,2.53125,2.449218988418579,2.462891101837158,2.460937976837158,5123200.0,2.229085922241211
2000-01-19,2.5,2.394531011581421,2.453125,2.4375,3836800.0,2.207854986190796
2000-01-20,2.527343988418579,2.421875,2.476562976837158,2.423827886581421,3126400.0,2.195472478866577
2000-01-21,2.4375,2.328125,2.423827886581421,2.330077886581421,2361600.0,2.110553741455078
2000-01-24,2.414062976837158,2.28125,2.337891101837158,2.3125,3001600.0,2.0946319103240967
2000-01-25,2.3125,2.222656011581421,2.3125,2.248047113418579,1625600.0,2.0362513065338135
2000-01-26,2.298827886581421,2.1875,2.248047113418579,2.28125,2688000.0,2.0663256645202637
2000-01-27,2.326172113418579,2.240233898162842,2.289062976837158,2.248047113418579,2201600.0,2.0362513065338135
2000-01-28,2.267577886581421,2.136718988418579,2.248047113418579,2.142577886581421,1104000.0,1.9407180547714233
2000-01-31,2.171875,2.087891101837158,2.142577886581421,2.121093988418579,2688000.0,1.9212586879730225
2000-02-01,2.130858898162842,2.089843988418579,2.121093988418579,2.107422113418579,1625600.0,1.9088743925094604
2000-02-02,2.203125,2.107422113418579,2.107422113418579,2.152343988418579,1420800.0,1.9495658874511719
2000-02-03,2.177733898162842,2.154297113418579,2.171875,2.162108898162842,1449600.0,1.958410620689392
2000-02-04,2.193358898162842,2.167968988418579,2.171875,2.193358898162842,924800.0,1.9867162704467773
